Stage Name,Real Name,Group,Instagram,Profile Pic,Kpoppin Profile
Bella,Choi Yoon Ah,Elris,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bellaPNG.png,https://kpopping.com/profiles/artist/890-Bella
Benji,Benjamin Jaewook Bae,B.I.G,https://www.instagram.com/baebenji92/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_benji.png,https://kpopping.com/profiles/artist/1433-Benji
BeWhy,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bewhy(1).png,https://kpopping.com/profiles/artist/1941-BeWhy
BIGONE,Kim Dae Il,24K,https://www.instagram.com/bigoneisthename/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_daeilside.png,https://kpopping.com/profiles/artist/405-BIGONE
Bin,Kim Subin,H.B.Y,https://www.instagram.com/mootbin/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bin(1).png,https://kpopping.com/profiles/artist/1512-Bin
Binnie,Bae Yoo Bin,Oh My Girl,https://www.instagram.com/wm_ohmygirl/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_binnie2.png,https://kpopping.com/profiles/artist/438-Binnie
Bitsaeon,Kim Sang-Yeon,M.O.N.T,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bitsaeon_default_silhouette.png,https://kpopping.com/profiles/artist/6761-Bitsaeon
Bitto,Lee Chang Hyun,UP10TION,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bitto.png,https://kpopping.com/profiles/artist/591-Bitto
Blacknine,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_blacknine(1).png,https://kpopping.com/profiles/artist/1944-Blacknine
BM,Matthew Kim,Kard,https://www.instagram.com/bigmatthewww/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bmm.png,https://kpopping.com/profiles/artist/321-BM
BoA,Kwon Boa,,http://instagram.com/boakwon,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/BoA_Pose_boasquared.png,https://kpopping.com/profiles/artist/142-BoA
Bobby,Kim Ji-won,iKON,https://www.instagram.com/bobbyindaeyo/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bobby_Pose_bobbyikonsquare.png,https://kpopping.com/profiles/artist/1208-Bobby
Boho,Lee Jong Geol,M.Fect,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_boho.png,https://kpopping.com/profiles/artist/1050-Boho
Bom,Park Bom,2NE1,http://instagram.com/haroobommi,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bom_Pose_pbsquare.png,https://kpopping.com/profiles/artist/64-Bom
BomB,Park Woo Young,Be.A,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bomb(1).png,https://kpopping.com/profiles/artist/2022-BomB
Bomi,Yoon Bo Mi,Apink,https://www.instagram.com/__yoonbomi__/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bomi_Pose_bomisquare.png,https://kpopping.com/profiles/artist/93-Bomi
Bomin,Kim Bo Min,Good Day,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bomin2.png,https://kpopping.com/profiles/artist/2788-Bomin
Bomin,Choi Bo Min,Golden Child,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_242138741029212_2.png,https://kpopping.com/profiles/artist/1015-Bomin
Bona,Kim Ji Yeon,Cosmic Girls,https://www.instagram.com/bn_95819/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_na.png,https://kpopping.com/profiles/artist/380-Bona
Bongjun,Lee Bongjun,N.Sonic,https://www.instagram.com/thebj_/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bongjun.png,https://kpopping.com/profiles/artist/1878-Bongjun
Boni,Choi Euijeong,Dreamnote,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_boni_pic.png,https://kpopping.com/profiles/artist/6312-Boni
Boni,Shin Bo-kyung,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Boni_default_silhouette(1).png,https://kpopping.com/profiles/artist/6354-Boni
Bonkuk,Go Bonkuk,INX,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bonkuk.png,https://kpopping.com/profiles/artist/1037-Bonkuk
Bora,Yoon Bo Ra,Sistar,http://instagram.com/borabora_sugar,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bora_Pose_borasquare.png,https://kpopping.com/profiles/artist/50-Bora
Bora,Kim Bora,Cherry Bullet,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bora_default_silhouette.png,https://kpopping.com/profiles/artist/6804-Bora
Boram,Boram Park,T-ara,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Boram_Pose_boramsquare.png,https://kpopping.com/profiles/artist/28-Boram
Bori,Kim Su Young,GIRLSGIRLS,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bori.png,https://kpopping.com/profiles/artist/3805-Bori
Boun,Im Junghak,Target,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_boun2.png,https://kpopping.com/profiles/artist/1526-Boun
Brother Su,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_brother_su(1).png,https://kpopping.com/profiles/artist/2226-Brother-Su
Buffy,Kim Ju-hyeon,MADTOWN,https://www.instagram.com/bufonmusic/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_buffy.png,https://kpopping.com/profiles/artist/1057-Buffy
Bullet,Jin Jun Woo,VARSITY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bullet.png,https://kpopping.com/profiles/artist/1139-Bullet
BUMKEY,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bmk2.png,https://kpopping.com/profiles/artist/3878-BUMKEY
ByongKwan,Kim Byeongkwan,A.C.E,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_image_25.png,https://kpopping.com/profiles/artist/515-ByongKwan
Byul,Choi Byul,N.Sonic,https://www.instagram.com/sstarr_llightt/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_byul(1).png,https://kpopping.com/profiles/artist/1856-Byul
Byungchan,Choi Byung Chan,VICTON,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_byungchan.png,https://kpopping.com/profiles/artist/1170-Byungchan
Byungho,Park Byung Ho,24K,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_byungho(1).png,https://kpopping.com/profiles/artist/407-Byungho
C.A.P,Bang Minsoo,Teen Top,https://www.instagram.com/bangminsu1992/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_cap.png,https://kpopping.com/profiles/artist/1532-C-A-P
Cacophony,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Cacophony_default_silhouette.png,https://kpopping.com/profiles/artist/6377-Cacophony
Cao Lu,Cao Lu,Fiestar,https://www.instagram.com/better_me_caolu/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_caolu2.png,https://kpopping.com/profiles/artist/892-Cao-Lu
Casper,Chu Xiao Xiang,Cross Gene,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_casper.png,https://kpopping.com/profiles/artist/1713-Casper
Cha Eunwoo,Lee Dong Min,Astro,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(32).png,https://kpopping.com/profiles/artist/473-Cha-Eunwoo
Chaebin,Choi Yubin,NATURE,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chaebinn.png,https://kpopping.com/profiles/artist/5413-Chaebin
Chaehee,Ahn Chae Hee,GBB,https://www.instagram.com/gbb_chaehee/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chaehee2.png,https://kpopping.com/profiles/artist/3003-Chaehee
Chaejin,Chae Jin Seok,MYNAME,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chaejin_default_silhouette.png,https://kpopping.com/profiles/artist/1079-Chaejin
Chaejin,Kim Chae Jin,Laysha,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chaejin.png,https://kpopping.com/profiles/artist/3399-Chaejin
Chaekyung,Yoon Chaekyung,April,https://www.instagram.com/official.april/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(1).png,https://kpopping.com/profiles/artist/480-Chaekyung
Chaerin,Park Chaerin,Cherry Bullet,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chaerin_default_silhouette.png,https://kpopping.com/profiles/artist/6808-Chaerin
Chaesol,Moon Chae Sol,Good Day,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chaesol.png,https://kpopping.com/profiles/artist/2361-Chaesol
Chaewon,Kim Chae Won,S2,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chaewon.png,https://kpopping.com/profiles/artist/2362-Chaewon
Chaewon,Kim Chaewon,IZ*ONE,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_izone_chaewon2_350x400.png,https://kpopping.com/profiles/artist/5790-Chaewon
Chaewon,Kim Chae Won,April,https://www.instagram.com/chaeni_0824/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose(34).png,https://kpopping.com/profiles/artist/481-Chaewon
Chaeyeon,Jung Chae Yeon,"IOI, DIA",http://instagram.com/j_chaeyeoni,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chaeyeon_3.png,https://kpopping.com/profiles/artist/277-Chaeyeon
Chaeyeon,Lee Chaeyeon,IZ*ONE,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_izone_chaeyeon1_350x400.png,https://kpopping.com/profiles/artist/5792-Chaeyeon
Chaeyeon,Kim Chae Yeon,Busters,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose-chaeyeon.png,https://kpopping.com/profiles/artist/3257-Chaeyeon
Chaeyoung,Son Chae Young,Twice,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_Chaeyoung350x400(1).png,https://kpopping.com/profiles/artist/184-Chaeyoung
Chaeyoung,Lee Chae-young,Fromis_9,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_516702.png,https://kpopping.com/profiles/artist/3012-Chaeyoung
Chahee,Park Soo Young,Melody day,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chahee.png,https://kpopping.com/profiles/artist/2360-Chahee
Chan,Kang Yoochan,"A.C.E, UNB",,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chan.png,https://kpopping.com/profiles/artist/516-Chan
Chan,Heo Chan,VICTON,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chan(1).png,https://kpopping.com/profiles/artist/1167-Chan
Chan Young,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chan_Young_default_silhouette.png,https://kpopping.com/profiles/artist/5198-Chan-Young
Chandong,Lee Chan-dong,Vromance,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chandong.png,https://kpopping.com/profiles/artist/600-Chandong
Chang Mo,Lee Chang Mo,AboutU,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Lee_Chang_Mo_default_silhouette.png,https://kpopping.com/profiles/artist/6245-Chang-Mo
Changbin,Seo Chang-bin,Stray Kids,https://www.instagram.com/realstraykids/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_changbinside.png,https://kpopping.com/profiles/artist/2632-Changbin
Changbum,Woo Changbum,"100%, Vermuda",https://www.instagram.com/c_bum1007/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chb2.png,https://kpopping.com/profiles/artist/511-Changbum
Changmin,Lee Changmin,2AM,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chng2.png,https://kpopping.com/profiles/artist/1798-Changmin
Changmin,Shim Changmin,TVXQ,https://www.instagram.com/changmin88/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chang.png,https://kpopping.com/profiles/artist/1496-Changmin
Changsub,Lee Chang Sub,BTOB,https://www.instagram.com/lee_cs_btob/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_27086A4A-26BC-418A-A383-F1295703EF57.png,https://kpopping.com/profiles/artist/393-Changsub
Changsun,Lee Changsun,24K,https://www.instagram.com/24k_changsunny/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_changsun.png,https://kpopping.com/profiles/artist/401-Changsun
Chanhee,Lee Chanhee,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chanhee_default_silhouette.png,https://kpopping.com/profiles/artist/1882-Chanhee
Chanhyuk,Lee Chanhyuk,Akdong Musician,https://www.instagram.com/akmuchanhk/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chanhyuk.png,https://kpopping.com/profiles/artist/477-Chanhyuk
Chani,Kang Chanhee,SF9,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chani.png,https://kpopping.com/profiles/artist/572-Chani
Chanmi,Kim Chan Mi,AOA,http://instagram.com/chanmi_96a,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chanmi_Pose_squarechanmi.png,https://kpopping.com/profiles/artist/80-Chanmi
Chansung,Hwang Chan Sung,2PM,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chansung.png,https://kpopping.com/profiles/artist/1764-Chansung
Chanwoo,Jung Chanwoo,iKON,https://www.instagram.com/chan_w000/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chanwoo.png,https://kpopping.com/profiles/artist/1549-Chanwoo
Chanyeol,Park Chan-yeol,Exo,https://www.instagram.com/real__pcy/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chanyeol_Pose_chanyeol.png,https://kpopping.com/profiles/artist/214-Chanyeol
Chanyong,Kim Chanyong,100%,https://www.instagram.com/chachayongyong/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_chanyong.png,https://kpopping.com/profiles/artist/507-Chanyong
Chanyoung,Kim Chanyoung,D-CRUNCH,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chanyoung_default_silhouette.png,https://kpopping.com/profiles/artist/5959-Chanyoung
Cheetah,Kim Eun-young,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Cheetah_Pose_cheetahsquare2.png,https://kpopping.com/profiles/artist/134-Cheetah
Chen,Kim Jong-dae,"Exo, Exo-CBX",,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Chen_Pose_chensquare.png,https://kpopping.com/profiles/artist/215-Chen
Cheng Xiao,Cheng Xiao Xiao,Cosmic Girls,https://www.instagram.com/chengxiao_0715/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Cheng_Xiao_Pose_chengsquare.png,https://kpopping.com/profiles/artist/135-Cheng-Xiao
Chenle,Zhong Chen Le,"NCT Dream, NCT",,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_CHENLE-350_400.png,https://kpopping.com/profiles/artist/358-Chenle
Cheris,unknown,GBB,https://www.instagram.com/cherisleex/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_CHERIS2.png,https://kpopping.com/profiles/artist/3016-Cheris
